Query	Hit_Accession	Hit_Description
AIPGENE10582	sp|Q91ZH7|ABHD3_MOUSE	Abhydrolase domain-containing protein 3 OS=Mus musculus GN=Abhd3 PE=2 SV=1
AIPGENE10583	sp|Q61827|MAFK_MOUSE	Transcription factor MafK OS=Mus musculus GN=Mafk PE=2 SV=1
AIPGENE10584	sp|Q5DU00|DCDC2_MOUSE	Doublecortin domain-containing protein 2 OS=Mus musculus GN=Dcdc2 PE=2 SV=2
AIPGENE10585	sp|O19062|CRP_PIG	C-reactive protein OS=Sus scrofa GN=CRP PE=2 SV=1
AIPGENE10586	sp|Q20655|14332_CAEEL	14-3-3-like protein 2 OS=Caenorhabditis elegans GN=ftt-2 PE=1 SV=1
AIPGENE10587	sp|Q5ZKC9|1433Z_CHICK	14-3-3 protein zeta OS=Gallus gallus GN=YWHAZ PE=2 SV=1
AIPGENE10588	sp|Q9GLP1|FA5_PIG	Coagulation factor V OS=Sus scrofa GN=F5 PE=2 SV=1
AIPGENE10589	sp|Q3SZ85|PTRD1_BOVIN	Putative peptidyl-tRNA hydrolase PTRHD1 OS=Bos taurus GN=PTRHD1 PE=2 SV=2
AIPGENE10590	sp|P50238|CRIP1_HUMAN	Cysteine-rich protein 1 OS=Homo sapiens GN=CRIP1 PE=1 SV=3
AIPGENE10591	tr|A7SI46|A7SI46_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g212623 PE=4 SV=1
AIPGENE10592	sp|Q5HZI9|S2551_MOUSE	Solute carrier family 25 member 51 OS=Mus musculus GN=Slc25a51 PE=2 SV=1
AIPGENE10593		
AIPGENE10594	sp|A6H8T7|CBPC2_DANRE	Cytosolic carboxypeptidase 2 OS=Danio rerio GN=zte25 PE=2 SV=1
AIPGENE10595	sp|Q7LHG5|YI31B_YEAST	Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY3B-I PE=3 SV=2
AIPGENE10596	sp|P04068|HYEP_RABIT	Epoxide hydrolase 1 OS=Oryctolagus cuniculus GN=EPHX1 PE=1 SV=2
AIPGENE10597	sp|Q6PFM1|S20AB_DANRE	Sodium-dependent phosphate transporter 1-B OS=Danio rerio GN=slc20a1b PE=2 SV=1
AIPGENE10598	sp|P50238|CRIP1_HUMAN	Cysteine-rich protein 1 OS=Homo sapiens GN=CRIP1 PE=1 SV=3
AIPGENE10599	sp|P12263|FA8_PIG	Coagulation factor VIII OS=Sus scrofa GN=F8 PE=1 SV=2
AIPGENE10600		
AIPGENE10601	sp|Q96AJ9|VTI1A_HUMAN	Vesicle transport through interaction with t-SNAREs homolog 1A OS=Homo sapiens GN=VTI1A PE=1 SV=2
AIPGENE10602	sp|O95429|BAG4_HUMAN	BAG family molecular chaperone regulator 4 OS=Homo sapiens GN=BAG4 PE=1 SV=1
AIPGENE10603	sp|Q6NVS5|DCA13_XENTR	DDB1- and CUL4-associated factor 13 OS=Xenopus tropicalis GN=dcaf13 PE=2 SV=1
AIPGENE10604	sp|Q71U00|SKP1_XENLA	S-phase kinase-associated protein 1 OS=Xenopus laevis GN=skp1 PE=1 SV=3
AIPGENE10605	sp|Q5BL44|S20A1_XENTR	Sodium-dependent phosphate transporter 1 OS=Xenopus tropicalis GN=slc20a1 PE=2 SV=1
AIPGENE10606	sp|Q20655|14332_CAEEL	14-3-3-like protein 2 OS=Caenorhabditis elegans GN=ftt-2 PE=1 SV=1
AIPGENE10607	sp|Q2EG98|PK1L3_MOUSE	Polycystic kidney disease protein 1-like 3 OS=Mus musculus GN=Pkd1l3 PE=1 SV=2
AIPGENE10608	sp|Q0IH24|SPEF1_XENLA	Sperm flagellar protein 1 OS=Xenopus laevis GN=spef1 PE=2 SV=1
AIPGENE10609	gi|156396777|ref|XP_001637569.1|	predicted protein [Nematostella vectensis] >gi|156224682|gb|EDO45506.1| predicted protein [Nematostella vectensis]
AIPGENE10610	gi|156396777|ref|XP_001637569.1|	predicted protein [Nematostella vectensis] >gi|156224682|gb|EDO45506.1| predicted protein [Nematostella vectensis]
AIPGENE10611	sp|Q8BIG2|LKAM1_MOUSE	Protein LKAAEAR1 OS=Mus musculus GN=Lkaaear1 PE=2 SV=2
AIPGENE10612	tr|A7RK67|A7RK67_NEMVE	Battenin OS=Nematostella vectensis GN=v1g236423 PE=3 SV=1
AIPGENE10613	sp|P47972|NPTX2_HUMAN	Neuronal pentraxin-2 OS=Homo sapiens GN=NPTX2 PE=1 SV=2
AIPGENE10614	sp|P91943|PANG1_DROME	Protein pangolin, isoforms A/H/I/S OS=Drosophila melanogaster GN=pan PE=1 SV=1
AIPGENE10615	sp|Q66GV0|MPV17_XENLA	Protein Mpv17 OS=Xenopus laevis GN=mpv17 PE=2 SV=2
AIPGENE10616	sp|O88783|FA5_MOUSE	Coagulation factor V OS=Mus musculus GN=F5 PE=1 SV=1
AIPGENE10617	tr|A7SI46|A7SI46_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g212623 PE=4 SV=1
AIPGENE10618	sp|Q5R651|1433Z_PONAB	14-3-3 protein zeta/delta OS=Pongo abelii GN=YWHAZ PE=2 SV=1
AIPGENE10619	sp|Q63ZU0|ADA_XENTR	Adenosine deaminase OS=Xenopus tropicalis GN=ada PE=2 SV=1
AIPGENE10620	tr|W4YIF3|W4YIF3_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1
AIPGENE10621	sp|Q15058|KIF14_HUMAN	Kinesin-like protein KIF14 OS=Homo sapiens GN=KIF14 PE=1 SV=1
AIPGENE10622	sp|O50655|XERD_SELRU	Integrase/recombinase xerD homolog OS=Selenomonas ruminantium GN=xerD PE=3 SV=1
AIPGENE10623	sp|Q96PP9|GBP4_HUMAN	Guanylate-binding protein 4 OS=Homo sapiens GN=GBP4 PE=1 SV=2
AIPGENE10624		
AIPGENE10625	tr|A7S4I6|A7S4I6_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g206698 PE=4 SV=1
AIPGENE10626	gi|221130774|ref|XP_002165361.1|	PREDICTED: uncharacterized protein LOC100210439 [Hydra vulgaris]
AIPGENE10627	sp|O43526|KCNQ2_HUMAN	Potassium voltage-gated channel subfamily KQT member 2 OS=Homo sapiens GN=KCNQ2 PE=1 SV=2
AIPGENE10628		
AIPGENE10629	sp|Q5ZJU2|KLH15_CHICK	Kelch-like protein 15 OS=Gallus gallus GN=KLHL15 PE=2 SV=1
AIPGENE10630	sp|P34324|BAT15_CAEEL	BTB and MATH domain-containing protein 15 (Fragment) OS=Caenorhabditis elegans GN=bath-15 PE=1 SV=2
AIPGENE10631	gi|156354922|ref|XP_001623429.1|	predicted protein [Nematostella vectensis] >gi|156210126|gb|EDO31329.1| predicted protein [Nematostella vectensis]
AIPGENE10632	tr|W4XXH4|W4XXH4_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-PolppL_65 PE=4 SV=1
AIPGENE10633	sp|Q7Z4L5|TT21B_HUMAN	Tetratricopeptide repeat protein 21B OS=Homo sapiens GN=TTC21B PE=1 SV=2
AIPGENE10634	sp|Q2TAR3|FEZF2_XENLA	Fez family zinc finger protein 2 OS=Xenopus laevis GN=fezf2 PE=2 SV=1
AIPGENE10635		
AIPGENE10636		
AIPGENE10637	gi|156402540|ref|XP_001639648.1|	predicted protein [Nematostella vectensis] >gi|156226778|gb|EDO47585.1| predicted protein [Nematostella vectensis]
AIPGENE10638		
AIPGENE10639	sp|Q9HAR2|LPHN3_HUMAN	Latrophilin-3 OS=Homo sapiens GN=LPHN3 PE=1 SV=2
AIPGENE10640		
AIPGENE10641		
AIPGENE10642		
AIPGENE10643		
AIPGENE10644	sp|C6FG12|NLRC5_ICTPU	Protein NLRC5 OS=Ictalurus punctatus GN=nlrc5 PE=2 SV=1
AIPGENE10645	sp|Q80TC5|POGK_MOUSE	Pogo transposable element with KRAB domain OS=Mus musculus GN=Pogk PE=2 SV=2
AIPGENE10646		
AIPGENE10647	sp|Q14186|TFDP1_HUMAN	Transcription factor Dp-1 OS=Homo sapiens GN=TFDP1 PE=1 SV=1
AIPGENE10648	sp|Q0V8S9|CNTP5_CHICK	Contactin-associated protein-like 5 OS=Gallus gallus GN=CNTNAP5 PE=2 SV=1
AIPGENE10649	sp|P56571|ES1_RAT	ES1 protein homolog, mitochondrial OS=Rattus norvegicus PE=1 SV=2
AIPGENE10650	sp|Q8K194|SNR27_MOUSE	U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein OS=Mus musculus GN=Snrnp27 PE=2 SV=1
AIPGENE10651	sp|Q9Z1L4|XLRS1_MOUSE	Retinoschisin OS=Mus musculus GN=Rs1 PE=1 SV=1
AIPGENE10652		
AIPGENE10653	tr|M5THZ5|M5THZ5_9PLAN	Levanase (2,6-beta-D-fructanfructanohydrolase) OS=Rhodopirellula sp. SWK7 GN=RRSWK_02371 PE=3 SV=1
AIPGENE10654		
AIPGENE10655	sp|Q4VBD2|TAPT1_MOUSE	Transmembrane anterior posterior transformation protein 1 OS=Mus musculus GN=Tapt1 PE=2 SV=2
AIPGENE10656	tr|K1RY25|K1RY25_CRAGI	Uncharacterized protein OS=Crassostrea gigas GN=CGI_10006644 PE=4 SV=1
AIPGENE10657	gi|156405485|ref|XP_001640762.1|	predicted protein [Nematostella vectensis] >gi|156227898|gb|EDO48699.1| predicted protein [Nematostella vectensis]
AIPGENE10658	sp|Q96AY4|TTC28_HUMAN	Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4
AIPGENE10659	sp|D3ZAT9|FAXC_RAT	Failed axon connections homolog OS=Rattus norvegicus GN=Faxc PE=3 SV=1
AIPGENE10660	sp|D3ZAT9|FAXC_RAT	Failed axon connections homolog OS=Rattus norvegicus GN=Faxc PE=3 SV=1
AIPGENE10661	sp|D3ZAT9|FAXC_RAT	Failed axon connections homolog OS=Rattus norvegicus GN=Faxc PE=3 SV=1
AIPGENE10662	sp|Q9ZQ81|PPA9_ARATH	Probable inactive purple acid phosphatase 9 OS=Arabidopsis thaliana GN=PAP9 PE=2 SV=1
AIPGENE10663	sp|Q96AY4|TTC28_HUMAN	Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4
AIPGENE10664	tr|T2M7S4|T2M7S4_HYDVU	Uncharacterized protein C20orf152 (Fragment) OS=Hydra vulgaris GN=C20orf152 PE=2 SV=1
AIPGENE10665	sp|Q9WUW9|S1C2A_RAT	Sulfotransferase 1C2A OS=Rattus norvegicus GN=Sult1c2a PE=2 SV=2
AIPGENE10666	tr|T2M7K2|T2M7K2_HYDVU	Brevican core protein (Fragment) OS=Hydra vulgaris GN=BCAN PE=2 SV=1
AIPGENE10667	sp|Q0V8T8|CTP5B_MOUSE	Contactin-associated protein like 5-2 OS=Mus musculus GN=Cntnap5b PE=2 SV=1
AIPGENE10668	sp|Q08431|MFGM_HUMAN	Lactadherin OS=Homo sapiens GN=MFGE8 PE=1 SV=2
AIPGENE10669	sp|Q96AY4|TTC28_HUMAN	Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4
AIPGENE10670	tr|D7FJQ0|D7FJQ0_ECTSI	Putative uncharacterized protein OS=Ectocarpus siliculosus GN=Esi_0136_0015 PE=4 SV=1
AIPGENE10671	sp|P04323|POL3_DROME	Retrovirus-related Pol polyprotein from transposon 17.6 OS=Drosophila melanogaster GN=pol PE=4 SV=1
AIPGENE10672	tr|W4ZKP6|W4ZKP6_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-PppL_290 PE=4 SV=1
AIPGENE10673	sp|Q8R3B7|BRD8_MOUSE	Bromodomain-containing protein 8 OS=Mus musculus GN=Brd8 PE=1 SV=2
AIPGENE10674		
AIPGENE10675	tr|K3WAD2|K3WAD2_PYTUL	Uncharacterized protein OS=Pythium ultimum DAOM BR144 GN=PYU1_G001921 PE=4 SV=1
AIPGENE10676		
AIPGENE10677	sp|Q96AY4|TTC28_HUMAN	Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4
AIPGENE10678	sp|P79943|SLBP1_XENLA	Histone RNA hairpin-binding protein OS=Xenopus laevis GN=slbp1 PE=1 SV=1
AIPGENE10679	sp|Q8WXF0|SRS12_HUMAN	Serine/arginine-rich splicing factor 12 OS=Homo sapiens GN=SRSF12 PE=2 SV=1
AIPGENE10680	sp|Q8WXF0|SRS12_HUMAN	Serine/arginine-rich splicing factor 12 OS=Homo sapiens GN=SRSF12 PE=2 SV=1
AIPGENE10681	sp|Q99315|YG31B_YEAST	Transposon Ty3-G Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY3B-G PE=1 SV=3
AIPGENE10682	sp|Q8BI21|RNF38_MOUSE	E3 ubiquitin-protein ligase RNF38 OS=Mus musculus GN=Rnf38 PE=2 SV=1
AIPGENE10683	sp|Q8BI21|RNF38_MOUSE	E3 ubiquitin-protein ligase RNF38 OS=Mus musculus GN=Rnf38 PE=2 SV=1
AIPGENE10684	sp|O95271|TNKS1_HUMAN	Tankyrase-1 OS=Homo sapiens GN=TNKS PE=1 SV=2
AIPGENE10685	sp|Q6PGH0|UBTD2_MOUSE	Ubiquitin domain-containing protein 2 OS=Mus musculus GN=Ubtd2 PE=2 SV=1
AIPGENE10686	tr|K3WAD2|K3WAD2_PYTUL	Uncharacterized protein OS=Pythium ultimum DAOM BR144 GN=PYU1_G001921 PE=4 SV=1
AIPGENE10687	sp|Q3SZ40|DDX56_BOVIN	Probable ATP-dependent RNA helicase DDX56 OS=Bos taurus GN=DDX56 PE=2 SV=1
AIPGENE10688	sp|Q58L91|FA5V_OXYSU	Venom prothrombin activator oscutarin-C non-catalytic subunit OS=Oxyuranus scutellatus PE=1 SV=1
AIPGENE10689	sp|O95271|TNKS1_HUMAN	Tankyrase-1 OS=Homo sapiens GN=TNKS PE=1 SV=2
AIPGENE10690	sp|P70490|MFGM_RAT	Lactadherin OS=Rattus norvegicus GN=Mfge8 PE=2 SV=1
AIPGENE10691	sp|C6FG12|NLRC5_ICTPU	Protein NLRC5 OS=Ictalurus punctatus GN=nlrc5 PE=2 SV=1
AIPGENE10692	sp|Q14186|TFDP1_HUMAN	Transcription factor Dp-1 OS=Homo sapiens GN=TFDP1 PE=1 SV=1
AIPGENE10693	sp|P70490|MFGM_RAT	Lactadherin OS=Rattus norvegicus GN=Mfge8 PE=2 SV=1
AIPGENE10694	sp|Q8NB25|F184A_HUMAN	Protein FAM184A OS=Homo sapiens GN=FAM184A PE=2 SV=3
AIPGENE10695	sp|Q9BPX3|CND3_HUMAN	Condensin complex subunit 3 OS=Homo sapiens GN=NCAPG PE=1 SV=1
AIPGENE10696	sp|Q9BPX3|CND3_HUMAN	Condensin complex subunit 3 OS=Homo sapiens GN=NCAPG PE=1 SV=1
AIPGENE10697	sp|H2LRU7|PKD2_ORYLA	Polycystin-2 OS=Oryzias latipes GN=pkd2 PE=1 SV=2
AIPGENE10698	sp|Q9UJX2|CDC23_HUMAN	Cell division cycle protein 23 homolog OS=Homo sapiens GN=CDC23 PE=1 SV=3
AIPGENE10699	tr|R7V0K0|R7V0K0_CAPTE	Uncharacterized protein OS=Capitella teleta GN=CAPTEDRAFT_224392 PE=4 SV=1
AIPGENE10700	sp|Q8VIJ5|NCOAT_RAT	Bifunctional protein NCOAT OS=Rattus norvegicus GN=Mgea5 PE=1 SV=1
AIPGENE10701	sp|Q9NBX4|RTXE_DROME	Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster GN=X-element\ORF2 PE=3 SV=1
AIPGENE10702	tr|W4YM50|W4YM50_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-Zf(cchc)26_2 PE=4 SV=1
AIPGENE10703	sp|Q5U4F6|WDR34_MOUSE	WD repeat-containing protein 34 OS=Mus musculus GN=Wdr34 PE=2 SV=2
AIPGENE10704		
AIPGENE10705	tr|K7JZP2|K7JZP2_NASVI	Uncharacterized protein OS=Nasonia vitripennis GN=LOC100680052 PE=4 SV=1
AIPGENE10706	tr|C3ZG80|C3ZG80_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_67255 PE=4 SV=1
AIPGENE10707	sp|Q9EQQ9|NCOAT_MOUSE	Bifunctional protein NCOAT OS=Mus musculus GN=Mgea5 PE=1 SV=2
AIPGENE10708	sp|A8E5V9|STING_XENTR	Stimulator of interferon genes protein OS=Xenopus tropicalis GN=tmem173 PE=2 SV=1
AIPGENE10709		
AIPGENE10710	tr|T1PJT3|T1PJT3_MUSDO	Integrase core domain protein OS=Musca domestica PE=2 SV=1
AIPGENE10711	sp|P79385|MFGM_PIG	Lactadherin OS=Sus scrofa GN=MFGE8 PE=1 SV=2
AIPGENE10712		
AIPGENE10713	sp|Q9UJX2|CDC23_HUMAN	Cell division cycle protein 23 homolog OS=Homo sapiens GN=CDC23 PE=1 SV=3
AIPGENE10714	sp|Q09575|YRD6_CAEEL	Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1
AIPGENE10715	sp|E1C7U0|STING_CHICK	Stimulator of interferon genes protein OS=Gallus gallus GN=TMEM173 PE=3 SV=1
AIPGENE10716	sp|P79795|NRP1_CHICK	Neuropilin-1 OS=Gallus gallus GN=NRP1 PE=2 SV=1
AIPGENE10717	sp|Q9CR73|PNRC2_MOUSE	Proline-rich nuclear receptor coactivator 2 OS=Mus musculus GN=Pnrc2 PE=2 SV=1
AIPGENE10718	sp|Q3MHP0|RBM40_BOVIN	RNA-binding protein 40 OS=Bos taurus GN=RNPC3 PE=2 SV=1
AIPGENE10719	sp|Q6PE87|CF165_MOUSE	UPF0704 protein C6orf165 homolog OS=Mus musculus PE=2 SV=2
AIPGENE10720	sp|Q12766|HMGX3_HUMAN	HMG domain-containing protein 3 OS=Homo sapiens GN=HMGXB3 PE=2 SV=2
AIPGENE10721	tr|A7SFL8|A7SFL8_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g244931 PE=4 SV=1
AIPGENE10722		
AIPGENE10723	sp|Q8NB25|F184A_HUMAN	Protein FAM184A OS=Homo sapiens GN=FAM184A PE=2 SV=3
AIPGENE10724	tr|W4Y3H0|W4Y3H0_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-Endrvt75 PE=4 SV=1
AIPGENE10725	tr|A7S3B5|A7S3B5_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g242563 PE=4 SV=1
AIPGENE10726	gi|156392297|ref|XP_001635985.1|	predicted protein [Nematostella vectensis] >gi|156223084|gb|EDO43922.1| predicted protein [Nematostella vectensis]
AIPGENE10727	tr|C3Z5P2|C3Z5P2_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_118038 PE=4 SV=1
AIPGENE10728	tr|C3Z5P2|C3Z5P2_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_118038 PE=4 SV=1
AIPGENE10729	sp|Q13905|RPGF1_HUMAN	Rap guanine nucleotide exchange factor 1 OS=Homo sapiens GN=RAPGEF1 PE=1 SV=3
AIPGENE10730	tr|C3Z5P2|C3Z5P2_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_118038 PE=4 SV=1
AIPGENE10731	sp|O35930|GP1BA_MOUSE	Platelet glycoprotein Ib alpha chain OS=Mus musculus GN=Gp1ba PE=2 SV=2
AIPGENE10732	tr|K7J5W1|K7J5W1_NASVI	Uncharacterized protein OS=Nasonia vitripennis PE=4 SV=1
AIPGENE10733	gi|156403957|ref|XP_001640174.1|	predicted protein [Nematostella vectensis] >gi|156227307|gb|EDO48111.1| predicted protein [Nematostella vectensis]
AIPGENE10734	gi|156403957|ref|XP_001640174.1|	predicted protein [Nematostella vectensis] >gi|156227307|gb|EDO48111.1| predicted protein [Nematostella vectensis]
AIPGENE10735		
AIPGENE10736	sp|P30975|TLR2_DROME	Tachykinin-like peptides receptor 99D OS=Drosophila melanogaster GN=TkR99D PE=2 SV=2
AIPGENE10737	tr|C3Z5P1|C3Z5P1_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_66129 PE=4 SV=1
AIPGENE10738		
AIPGENE10739	sp|P97864|CASP7_MOUSE	Caspase-7 OS=Mus musculus GN=Casp7 PE=1 SV=2
AIPGENE10740	sp|Q63481|RAB7L_RAT	Ras-related protein Rab-7L1 OS=Rattus norvegicus GN=Rab7l1 PE=1 SV=1
AIPGENE10741	sp|Q8R4I1|ATX7_MOUSE	Ataxin-7 OS=Mus musculus GN=Atxn7 PE=1 SV=2
AIPGENE10742	sp|P46023|GR101_LYMST	G-protein coupled receptor GRL101 OS=Lymnaea stagnalis PE=2 SV=1
AIPGENE10743	tr|U9U5Y1|U9U5Y1_RHIID	Uncharacterized protein (Fragment) OS=Rhizophagus irregularis (strain DAOM 181602 / DAOM 197198 / MUCL 43194) GN=GLOINDRAFT_77722 PE=4 SV=1
AIPGENE10744	sp|P79218|NK2R_RABIT	Substance-K receptor OS=Oryctolagus cuniculus GN=TACR2 PE=2 SV=1
AIPGENE10745	sp|P79218|NK2R_RABIT	Substance-K receptor OS=Oryctolagus cuniculus GN=TACR2 PE=2 SV=1
AIPGENE10746	sp|O70244|CUBN_RAT	Cubilin OS=Rattus norvegicus GN=Cubn PE=1 SV=2
AIPGENE10747	tr|B0DCR9|B0DCR9_LACBS	Predicted protein OS=Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686) GN=LACBIDRAFT_327766 PE=4 SV=1
AIPGENE10748	sp|Q9NYP3|DONS_HUMAN	Protein downstream neighbor of Son OS=Homo sapiens GN=DONSON PE=1 SV=2
AIPGENE10749	gi|156379665|ref|XP_001631577.1|	predicted protein [Nematostella vectensis] >gi|156218619|gb|EDO39514.1| predicted protein [Nematostella vectensis]
AIPGENE10750	tr|C3Z5P1|C3Z5P1_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_66129 PE=4 SV=1
AIPGENE10751	sp|Q9Y3C4|TPRKB_HUMAN	EKC/KEOPS complex subunit TPRKB OS=Homo sapiens GN=TPRKB PE=1 SV=1
AIPGENE10752		
AIPGENE10753	sp|Q2VPA6|HELQ_MOUSE	Helicase POLQ-like OS=Mus musculus GN=Helq PE=2 SV=2
AIPGENE10754	gi|617432012|ref|XP_007562144.1|	PREDICTED: uncharacterized protein LOC103144912 [Poecilia formosa]
AIPGENE10755	sp|P37942|ODB2_BACSU	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex OS=Bacillus subtilis (strain 168) GN=bfmBB PE=3 SV=1
AIPGENE10756	sp|Q96QT4|TRPM7_HUMAN	Transient receptor potential cation channel subfamily M member 7 OS=Homo sapiens GN=TRPM7 PE=1 SV=1
AIPGENE10757	tr|K7JH44|K7JH44_NASVI	Uncharacterized protein OS=Nasonia vitripennis PE=4 SV=1
AIPGENE10758	tr|A7SXQ1|A7SXQ1_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g247996 PE=4 SV=1
AIPGENE10759	sp|P52948|NUP98_HUMAN	Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens GN=NUP98 PE=1 SV=4
AIPGENE10760	sp|Q8IZ69|TRM2A_HUMAN	tRNA (uracil-5-)-methyltransferase homolog A OS=Homo sapiens GN=TRMT2A PE=1 SV=2
AIPGENE10761	gi|156381277|ref|XP_001632192.1|	predicted protein [Nematostella vectensis] >gi|156219244|gb|EDO40129.1| predicted protein [Nematostella vectensis]
AIPGENE10762	sp|Q9H0W7|THAP2_HUMAN	THAP domain-containing protein 2 OS=Homo sapiens GN=THAP2 PE=1 SV=1
AIPGENE10763	sp|Q90625|ZBT17_CHICK	Zinc finger and BTB domain-containing protein 17 (Fragment) OS=Gallus gallus GN=ZBTB17 PE=2 SV=1
AIPGENE10764	sp|O55125|NIPS1_MOUSE	Protein NipSnap homolog 1 OS=Mus musculus GN=Nipsnap1 PE=1 SV=1
AIPGENE10765		
AIPGENE10766	sp|O02751|CFDP2_BOVIN	Craniofacial development protein 2 OS=Bos taurus GN=CFDP2 PE=1 SV=2
AIPGENE10767	gi|156378506|ref|XP_001631183.1|	predicted protein [Nematostella vectensis] >gi|156218219|gb|EDO39120.1| predicted protein [Nematostella vectensis]
AIPGENE10768	sp|Q6PFD9|NUP98_MOUSE	Nuclear pore complex protein Nup98-Nup96 OS=Mus musculus GN=Nup98 PE=1 SV=2
AIPGENE10769	sp|P49793|NUP98_RAT	Nuclear pore complex protein Nup98-Nup96 OS=Rattus norvegicus GN=Nup98 PE=1 SV=2
AIPGENE10770	sp|Q91YL7|PG2IP_MOUSE	PGAP2-interacting protein OS=Mus musculus GN=Cwh43 PE=1 SV=1
AIPGENE10771	tr|U6NUJ2|U6NUJ2_HAECO	Endonuclease-reverse transcriptase HmRTE-e01 OS=Haemonchus contortus GN=HCOI_00337200 PE=4 SV=1
AIPGENE10772	tr|C3ZUM2|C3ZUM2_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_127392 PE=4 SV=1
AIPGENE10773	sp|Q9H720|PG2IP_HUMAN	PGAP2-interacting protein OS=Homo sapiens GN=CWH43 PE=2 SV=2
AIPGENE10774	sp|Q9D4H7|LONF3_MOUSE	LON peptidase N-terminal domain and RING finger protein 3 OS=Mus musculus GN=Lonrf3 PE=2 SV=1
AIPGENE10775	sp|Q09575|YRD6_CAEEL	Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1
AIPGENE10776	sp|P85171|MDGA1_RAT	MAM domain-containing glycosylphosphatidylinositol anchor protein 1 OS=Rattus norvegicus GN=Mdga1 PE=1 SV=1
AIPGENE10777		
AIPGENE10778	sp|P10394|POL4_DROME	Retrovirus-related Pol polyprotein from transposon 412 OS=Drosophila melanogaster GN=POL PE=4 SV=1
AIPGENE10779		
AIPGENE10780	sp|P04323|POL3_DROME	Retrovirus-related Pol polyprotein from transposon 17.6 OS=Drosophila melanogaster GN=pol PE=4 SV=1
AIPGENE10781	sp|Q8IYF3|TEX11_HUMAN	Testis-expressed sequence 11 protein OS=Homo sapiens GN=TEX11 PE=1 SV=3
AIPGENE10782	sp|Q9H611|PIF1_HUMAN	ATP-dependent DNA helicase PIF1 OS=Homo sapiens GN=PIF1 PE=1 SV=2
AIPGENE10783	sp|Q8R4V5|OIT3_MOUSE	Oncoprotein-induced transcript 3 protein OS=Mus musculus GN=Oit3 PE=2 SV=2
AIPGENE10784	tr|H2N2G0|H2N2G0_ORYLA	Uncharacterized protein (Fragment) OS=Oryzias latipes PE=4 SV=1
AIPGENE10785	sp|Q09575|YRD6_CAEEL	Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1
AIPGENE10786	sp|P21328|RTJK_DROME	RNA-directed DNA polymerase from mobile element jockey OS=Drosophila melanogaster GN=pol PE=1 SV=1
AIPGENE10787	sp|Q09575|YRD6_CAEEL	Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1
AIPGENE10788	tr|M4ASC0|M4ASC0_XIPMA	Uncharacterized protein OS=Xiphophorus maculatus PE=4 SV=1
AIPGENE10789	sp|Q14AT2|TEX11_MOUSE	Testis-expressed sequence 11 protein OS=Mus musculus GN=Tex11 PE=1 SV=1
AIPGENE10790	gi|260789303|ref|XP_002589686.1|	hypothetical protein BRAFLDRAFT_100813 [Branchiostoma floridae] >gi|229274868|gb|EEN45697.1| hypothetical protein BRAFLDRAFT_100813 [Branchiostoma floridae]
